block,plot,precipitation,species,replicate,func_group,life_history,early_late,forb_grass,gdd,first_flower_mean,fruit
1,5,0,SS,4,C4,perennial,late,grass,3555.2,260,9
1,6,-100,AP,2,C3,perennial,late,forb,1072.05,267,6
1,6,-100,BI,1,C4,perennial,late,grass,1072.05,269,12
1,6,-100,CF,4,C3,annual,early,forb,1054.2,197,38
1,6,-100,CM,1,C3,annual,early,forb,1054.2,183,40
1,6,-100,CS,1,C3,perennial,early,forb,849.5,133,60
1,6,-100,DO,2,C3,perennial,early,grass,998.55,133,3
1,6,-100,ES,1,C3,annual,early,forb,998.55,133,33
1,6,-100,SE,3,C3,perennial,late,forb,1072.05,178,36
1,6,-100,SS,5,C4,perennial,late,grass,1072.05,237,6
1,7,-80,CF,3,C3,annual,early,forb,1702.85,195,5
1,7,-80,CM,1,C3,annual,early,forb,3066.4,200,38
1,7,-80,DO,1,C3,perennial,early,grass,661.9,136,1
1,7,-80,SE,1,C3,perennial,late,forb,3506.6,290,10
1,7,-80,SS,1,C4,perennial,late,grass,3506.6,248,4
2,8,-40,AP,5,C3,perennial,late,forb,3756.05,256,3
2,8,-40,BI,1,C4,perennial,late,grass,3683.35,266,45
2,8,-40,CF,3,C3,annual,early,forb,1896.1,199,2
2,8,-40,CM,4,C3,annual,early,forb,3527.7,186,13
2,8,-40,CS,5,C3,perennial,early,forb,1179.9,149,21
2,8,-40,DO,3,C3,perennial,early,grass,1316.4,138,3
2,8,-40,ES,1,C3,annual,early,forb,1365.35,134,7
2,8,-40,SE,4,C3,perennial,late,forb,3875.65,281,58
2,8,-40,SS,3,C4,perennial,late,grass,3989.15,262,27
2,9,-80,CF,2,C3,annual,early,forb,1909.65,199,2
2,9,-80,CM,1,C3,annual,early,forb,2457.55,186,27
2,9,-80,DO,1,C3,perennial,early,grass,1776.6,140,2
2,9,-80,ES,1,C3,annual,early,forb,1501.25,136,2
2,9,-80,SE,2,C3,perennial,late,forb,2675.2,234,12
2,9,-80,SN,1,C4,perennial,late,grass,2585.95,269,1
2,9,-80,SS,2,C4,perennial,late,grass,2541.8,262,2
